Title,Speakers,Talk URL,Talk Thumbnail URL
Heroism in Translation,['Sharad Devarajan'],http://www.inktalks.com/discover/845/heroism-in-translation,https://s3.amazonaws.com/VideoThumbnails/INKAsia2016talks/INK-Asia2016_Sharad_Devarajan.jpg
Ethics in governance and giving back to society,['Mukund Rajan'],http://www.inktalks.com/discover/843/ethics-in-governance-and-giving-back-to-society,https://s3.amazonaws.com/VideoThumbnails/Interviews/YPO-chennai_Mukund-Rajan.png
Personalized cancer treatment,['Ramanuj Dasgupta'],http://www.inktalks.com/discover/842/personalized-cancer-treatment,https://s3.amazonaws.com/VideoThumbnails/INKAsia2016talks/INK-Asia2016_Ramanuj_Dasgupta.jpg
Utilizing nature's blueprint ,['Shawn Hoon'],http://www.inktalks.com/discover/841/Shawn-hoon-utilizing-natures-blueprint,https://s3.amazonaws.com/VideoThumbnails/INKAsia2016talks/INK2015_Shawn_Hoon.jpg
Blockchain technology,['Brock Pierce'],http://www.inktalks.com/discover/840/brock-pierce-blockchain-technology,https://s3.amazonaws.com/VideoThumbnails/INKAsia2016talks/INKAsia2016_Brock_Pierce.jpg
Your online emotional support system,['Richa Singh'],http://www.inktalks.com/discover/839/richa-singh-your-online-emotional-support-system,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Richa-Singh.jpg
How to withstand a cyberattack,['Jonathan Reiber'],http://www.inktalks.com/discover/837/jonathan-reiber-how-to-withstand-a-cyberattack,https://s3.amazonaws.com/VideoThumbnails/INKAsia2016talks/Jonathan_Reiber_INKAsia2016.jpg
The joy of learning ,['Babar Ali'],http://www.inktalks.com/discover/836/babar-ali-the-joy-of-learning,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Babar_Ali.png
India for entrepreneurs,['Abhijit Bose '],http://www.inktalks.com/discover/835/Abhijit-bose-india-for-entrepreneurs,https://s3.amazonaws.com/VideoThumbnails/INKAsia2016talks/INKasia2016_Abhijit_Bose.jpg
Learning to be a Leader ,['Ravi Chaturvedi'],http://www.inktalks.com/discover/834/Ravi-chaturvedi-learning-to-be-a-leader,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Ravi_Chaturvedi.jpg
Pre-emptive personal healthcare ,['Anuradha  Acharya'],http://www.inktalks.com/discover/833/Anuradha-Acharya-pre-emptive-personal-healthcare,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Anuradha_Acharya.jpg
Courage comes from failure ,['Ayushmann Khurrana'],http://www.inktalks.com/discover/832/courage-comes-from-failure,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Ayushmann-Khurrana.jpg
Humans in a Dish ,['Aparna Venkatesh'],http://www.inktalks.com/discover/831/humans-in-a-dish,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Aparna-Venkatesh.jpg
